,0,1,2,3,4,5,6,7,8,9
0,974,1,1,0,0,1,2,1,0,0
1,0,1131,3,0,0,0,0,0,0,1
2,5,0,1007,0,1,0,4,11,4,0
3,0,0,2,975,1,13,0,7,8,4
4,1,0,0,0,953,0,7,2,1,18
5,3,0,0,11,0,868,4,1,0,5
6,2,4,0,0,3,2,946,0,1,0
7,0,17,5,1,2,0,0,993,0,10
8,4,0,4,11,2,6,2,3,938,4
9,3,3,1,6,5,4,1,7,2,977
