,0,1,2,3,4,5,6,7,8,9
0,971,0,4,0,2,3,6,2,5,5
1,0,1123,1,0,0,1,2,2,1,5
2,1,3,1012,3,3,0,1,11,3,0
3,0,1,2,993,1,6,1,1,5,9
4,1,0,3,0,958,3,1,1,3,10
5,4,1,0,2,0,871,3,0,4,3
6,0,2,2,0,4,3,940,0,2,0
7,1,2,3,6,3,1,2,1005,4,7
8,2,2,5,4,1,2,2,3,944,2
9,0,1,0,2,10,2,0,3,3,968
