,0,1,2,3,4,5,6,7,8,9
0,967,0,1,0,0,5,5,1,1,0
1,0,1119,2,3,0,1,3,1,6,0
2,9,1,953,9,9,1,16,11,21,2
3,1,1,16,945,1,17,2,12,11,4
4,1,1,6,0,931,0,9,2,2,30
5,7,5,5,33,6,806,13,2,9,6
6,10,3,4,1,6,10,923,0,1,0
7,2,14,22,5,8,1,0,953,4,19
8,4,7,6,14,8,25,12,6,887,5
9,9,6,0,12,33,6,1,15,7,920
