,0,1,2,3,4,5,6,7,8,9
0,969,0,0,0,0,2,3,1,4,1
1,0,1123,2,3,0,1,4,0,1,1
2,6,0,1001,7,2,0,2,8,6,0
3,0,0,10,975,0,6,0,9,7,3
4,1,0,0,0,955,0,6,0,3,17
5,2,0,0,10,3,860,6,2,5,4
6,5,3,1,0,3,3,941,0,2,0
7,1,3,18,1,1,0,0,991,2,11
8,2,0,4,8,3,5,4,5,934,9
9,6,6,3,11,10,5,1,3,4,960
