,0,1,2,3,4,5,6,7,8,9
0,967,0,3,0,1,4,5,1,3,2
1,0,1124,0,0,0,1,3,3,0,3
2,1,2,1014,2,3,0,1,9,2,0
3,1,1,1,990,1,6,1,2,4,4
4,1,0,1,1,961,1,4,0,2,7
5,4,1,0,6,0,868,5,0,4,3
6,4,2,2,0,1,5,935,0,3,1
7,1,2,5,4,4,1,1,1005,4,7
8,1,3,6,4,1,3,3,3,950,5
9,0,0,0,3,10,3,0,5,2,977
